i think you need to be in the hospital .	我想你需要醫院的醫院 。
it's not our burden .	它不是我們的水平 。
how can we find an entire connectome ?	我們如何找到一個連結 ?
we all start life as one single cell .	我們所有的細胞開始開始一個細胞 。
and that will get you very far .	這會讓你更加入 。
no , i don't do that .	不 , 我不做 , 我不做 。
in reality , take a guess .	在現實中 , 請請大家 。
hold your breath for me .	請你 , 請我 , 請我 。
there's no question about it .	沒有問題 , 沒有問題 。
paper has some downsides .	紙上有一些紙 。
that can't be right . "	這可以是 「 不 」 的 。
there would still be dangers .	雖然仍然是女士 。
we are very far from it .	我們是非常遠遠的 。
twice as likely .	雖然 , 像像這樣一樣一樣一樣一樣 。
i was just a kid back then .	我只是一個孩子 , 再回到孩子 。
and that's what you get .	這是你要做什麼 。
they continued doing exactly the same .	他們繼續做同樣的 , 他們繼續做同樣的 。
but the data says something different .	但數據說 , 不同的數據是不同 。
the product was that airplane .	產品是空氣 。
we're not alone , though .	雖然 , 雖然 , 雖然 , 雖然我們不是 。
now , there's another problem .	另外 , 另一個問題是另一個問題 。
the goal is very clear .	最後 , 很顯然很明顯 。
we'll need an action .	我們需要一個選擇 。
why are we conscious ?	為什麼我們對我們來說 , 我們有意識 ?
is there anyone else out there ?	任何人沒有任何人 , 沒有任何人嗎 ?
and kathe did her job .	克里斯做了她的工作 , 工作了她的工作 。
it was all rubble .	它都是全部的 。
the young man should be made first .	年輕人應該是第一個 。
this is a hologram .	這是個美妙的技術 。
tabutni . thank you .	很棒 。 謝謝謝你 。
why has the record been so poor ?	為什麼 , 不論是貧窮的 ?
and there's the sheep .	這裡 , 她的心臟 。
now to the final approach .	現在 , 最後 , 最後 , 要解決方案例 。
why do we sometimes cheat ?	為什麼我們要做 , 我們會做什麼 ?
now , here's another reason .	另外 , 另一個原因是另一個原因 。
i'm numb .	我是不論的 。
and here's the statement .	這裡是國家的國家 。
it's a core question .	它是一個問題 。
that was the magic number .	這是個數字的數字 。
and this is slowly starting .	這慢慢慢慢慢慢慢慢慢慢 。
so i came up with a plan .	所以 , 我在一個植物上 ,
so i wanted something to solve it .	所以我想要解決它 , 我想要解決它 。
it's going to be fun .	它會很有趣 。
but how does it work , exactly ?	但它如何運作 , 其實是如何運作的 ?
so that's a big change .	這很大的改變 。
they're just not moving .	他們只是在電影裡 , 不只只在電影裡 。
maybe you've heard of her .	也許你聽她聽她 。
his vision was pretty poor .	他對他來說 , 很窮人很貧窮 。
" i'm ok . "	「 我是啊 ! 」
sr: that is true .	馬:這就是真的 , 真的是真的 。
and then you see a date .	然後你看到一個女兒 。
but then what happens in step three ?	但 , 三步在三步中發生了 ?
and what has happened in the world ?	世界發生在世界中發生了 ?
you decided to build a space company .	你決定要建造一個公司 。
and everything that my office was doing .	這一切都是我的辦公室 。
we are not a special interest group .	我們並不是一個非常有興趣的群群群 。
get yourself to a specialist center .	請自己一個特別的組織 。
hopefully , they will come .	希望 , 他們會 , 他們會去去 。
this might be a startling answer .	這可能是一開始的答案 。
they're paid for .	他們是保證 。
np: i remember that .	克:我記得 , 我記得 , 我記得我 。
" beth , " she said .	她說: 「 她說 , 她說 , 她說: 「 她說 。 」
there are actually two tails .	這裡有兩種 , 其實是兩種 。
he had acromegaly .	他有一小小小小小小小小小小小小小小小小小小小小小小小小小小
the second thing you need is light .	第二件事是 , 你需要光光光光 。
supercomputers same thing .	超級的同事 , 相同 。
they watched the video over there .	他們看了影片 。
so i became my own intern .	所以我變成我的社群 。
who is that going to come from ?	誰會從來來來來來到嗎 ?
well , what difference does this make ?	差異的差異是什麼 ?
i've talked to them .	我跟他們談他們談他們 。
now , it goes down to a .	下下 , 下下降 。
because notice the porch here .	因為這會注意到這裡 , 這裡的注意力 。
these are haikus .	這些是哈頓的 。
i am an emotional creature .	我是一個情緒的情緒 。
we hear about them all the time .	我們聽他們 , 每次都聽他們 。
so we did it . okay ?	所以 , 我們做了嗎 ?
this gets you to 6 .	這樣 , 你要去6個 。
we need help . we need help .	我們需要幫助我們 , 我們需要幫助幫助 。
and i can repeat that .	我可以把這塊塊 。
yet i had that piece of paper .	但 , 我有一張紙紙 。
and it didn't stop there .	它不停止止止止止止止 。
her name is esther .	她名名名名叫她 。
then we can start to use cells .	再開始用細胞開始使用細胞 。
come , let's go inside .	來 , 咱們 , 咱們 , 咱們 , 咱們 , 咱們 , 來來 。
and what did i say about work ?	我說 , 我說什麼 ?
i suppose we are . "	我選擇我們是 「 我們 」 的 。
five factorial is 120 .	事實上 , 五百分之一是2050年 。
he said , " be you . "	他說: 「 你是你說: "
secondly , that's wrong .	第二 , 這是錯的 。
i put my hopes in front .	我希望我的希望 , 希望我在下下面 。
decision scientists are people like me .	例如 , 科學家就像我一樣 。
and the answer is that they do .	答案是 , 他們要做 。
mr: thank you .	馬:謝謝謝謝謝謝你 。
and they go up easily .	他們快快快快 , 牠們會更容易 。
we got reports like this .	我們拿了這個報告 , 像這個報告 。
start by doing no harm .	開始 , 開始做不一樣 。
talk about a few of them .	幾種談 , 幾種是他們談的 。
one was that they be american .	一個是美國人 , 他們是美國人 。
so what about the next step ?	所以 , 接下來接下來的一步驟 ?
we wanted to do something different .	我們想要做一些不同的東西 。
so this was a great project .	這是很棒的計畫 。
but is it really that easy ?	但它真的很簡單 ?
there is this other powerful feeling .	其他的感覺是很大的感覺 。
it's tedious .	它是非常感謝的 。
just spread them around .	只是一路上 , 一路上 。
what would that system look like ?	這種系統看起來像嗎 ?
and yet , it never happens .	但 , 不 , 永遠永遠發生了 。
schoolchildren play .	學校說 , 學校的玩家 。
were you vulnerable ?	你是不喜歡的嗎 ?
the design comes from within .	設計的設計從從中央中 , 設計的設計 。
we play with coins .	我們和玩家一起玩玩 。
did you see what i did ?	你看到我做了什麼 ?
how far can we take it ?	我們如何讓它如何用它嗎 ?
all companies die , all companies .	所有公司 , 所有的公司 , 所有公司都都死了 。
and we knew we were right .	我們知道 , 我們知道我們是 ,
they dumped us there .	他們把我們拿到我們 。
it's given to you .	它是你給你 。
live long and prosper .	長久 , 長長長長長 , 長久 。
which would you choose ?	你會選擇嗎 ?
there's no manual .	沒有人 , 沒有人人 。
the difference is intent .	差異的差異是 。
i found no flaw .	我發現 , 沒有拉拉拉 。
he couldn't understand that .	他不能了解這一點 。
and that's not all .	這並不是所有人 。
well , guess what ?	猜 , 什麼 ?
they can't see me .	他們不能看到我 。
take a look at our planet .	看看我們的星球 。
sound familiar ?	聽起來嗎 ?
so thank you very much .	非常謝謝你 , 非常謝謝你 。
so how do you do that ?	所以你怎麼做呢 ?
jd: it varies .	約翰:它有不同的 。
ab: yes ? good .	一:好嗎 ? 嗯 , 很好 !
let’s take numbers .	咱們要用數字 。
what do we worship ?	我們做什麼 ?
so how does this all work ?	所以 , 這一切都如何運作 ?
do you worry much ?	你做太多嗎 ?
this is what some people think .	這是一些人認為 ,
where do we go from here ?	這裡我們從這裡到這裡的 ?
thank you all very much .	謝謝各位 , 你都很大 。
this is a picture of culture .	這是一個文化的圖片 。
i don't get that .	我不停止 。
there could be other solutions .	另外 , 其他解決方案 。
so it went something like this .	所以 , 看起來像這樣 。
but i do think you can .	但我認為你可以做你可以做你 。
so this is very powerful .	這是非常大的力量 。
it got quieter .	它很快 。
the news loved it .	新的愛 , 最愛 。
what's going on there ?	哪裡有什麼 ?
i thought that was really interesting .	我認為這是非常有趣的 。
it's just cash .	它只是一塊 。
how could you forget ?	你怎麼做嗎 ?
and it's not new .	它不是新的 。
representative government began to form .	例如 , 政府開始開始形式 。
we are fighting against this .	我們是保護這個 。
just quickly on the results .	很快的結果 , 只是快的結果 。
that was the future , right ?	這是未來 , 未來 , 對吧 ?
so i thanked ed .	我謝謝謝謝謝 。
idea number three is listening .	第三個數字是聽起來 。
the wire is ready .	史上是閱讀 。
really firstclass .	首先 , 首先 。
well , it's not .	嗯 , 它不是 。
but this was 1963 .	但193年是193年 。
it's called color .	它叫做顏色的顏色 。
let's find out .	讓我們找到 。
thank you very much .	非常謝謝你 。
let me show you this .	讓我展示這張照片 。
so when you put four .	所以 , 當你把四個 。
but i need your help .	但我需要幫助你的幫助 。
thank you very much .	非常謝謝你 。
some hands going up .	有些人會把手放在手上 。
so how does it work ?	所以它如何運作呢 ?
a good example is this .	很好的例子是這個例子 。
globalize trade .	全球化化 , 全球化是全球化的 。
but what do you do ?	但你做什麼 ?
that was not my best .	這並不是我最好的 。
no one wants that .	沒有一個人想 。
but i believe in them .	但我相信他們 , 我相信他們 。
entirely new requirement .	整個新技術需要新的技術 。
so what did we find ?	所以 , 我們找到什麼 ?
and i am thankful .	我非常謝謝謝 。
so what can we do ?	所以我們能做什麼 ?
that was the new reality .	這是新的現實 。
it's your money .	這是你的錢 。
so why is this important ?	所以為什麼這很重要嗎 ?
so what does that mean ?	所以 , 意思是 ?
so we made this thing .	所以 , 我們把這個東西變成這個東西 。
thank you very much .	非常謝謝你 。
i don't know .	我不知道 。
thank you very much !	非常謝謝你 !
thank you very much .	非常謝謝你 。
" the business is on .	「 商業 」 的商業是 。
now there is another one .	另一個是另一個 。
why english ?	為什麼 ?
okay ? ready ?	好嗎 ? 準備好嗎 ?
it is a beautiful room .	它是一個美麗的房子 。
what might that look like ?	或許 , 看起來像嗎 ?
we say they explore .	我們說他們在探索 。
the heat was on .	他在上上 , 他在上上上上 。
this young woman was me .	這是年輕的女性 。
" lifesized . "	「 生命 」 的生命 。
that moment changed my life .	我改變了我的生命 。
come on , keep up .	再來 , 再回來 , 繼續下去 。
how can we know this ?	我們能知道嗎 ?
young , bad boys .	年輕 , 不好的男孩 。
why would it be wrong ?	為什麼它會不錯 ?
and it can do that .	它可以做這個 。
how did he learn them ?	他如何學習它們呢 ?
we only have them once .	我們只只有一一一一一一一一旦我們只有一一一一一一一旦我們只只只只需要
what should it be for ?	該怎麼是嗎 ?
to calm down .	要下下降 。
i got really sick .	我很興奮 。
they call her names .	他們叫她名名名名名名名名名名名名名名名名叫她名名叫她
and i live there now .	現在 , 我住在這裡 , 這裡 , 現在我住在那裡 。
they are not the truth .	他們並不是事實上 。
we experimented on ourselves .	我們在自己的實驗上 , 我們在自己的實驗上 。
i love nasa .	我愛愛 。
life is not about you .	生命並不是你所想的 。
which i certainly was .	我真的很快 , 其實是我真的 。
this is just trained .	這只是訓練 。
this is their plan .	這是他們的植物 。
i just . . .	我只是這樣 。
and here it is .	這裡是 。
silence .	不論 。
you can see it .	你可以看到它 。
what is math ?	什麼是嗎 ?
so i did that .	所以我做了這個 。
everyone can be wrong .	每個人都沒錯 。
you talk about it .	你談一下 。
i just did things .	我只是做的事 。
how have you been ?	你有多少 ?
guess what ?	猜猜呢 ?
and why is that ?	為什麼是嗎 ?
what does this mean ?	這個意思是嗎 ?
i did it myself .	我做了我自己 。
i didn’t .	我沒有 。
but we wanted them .	但 , 我們想要他們 。
it won't .	它不不不了 。
false .	最好的 。
ohhhh .	喔 , 喔 ! 喔 !
here is the thing .	這裡是這樣的事 。
and so it goes .	所以 , 這樣 。
of course they are .	當然 , 牠們是 。
consider facit .	想像一下 。
they also live deep .	他們也深深深深深深深 。
sales were up .	馬馬上 , 馬上上上上 。
it feels great .	它感覺很棒 。
you're live .	你住在生活裡 。
" showers ? "	「 「 給人嗎 ? 」
love , action .	愛 , 愛 。
i could not believe .	我不能相信 。
really cool stuff .	真的 , 很酷 。
run away . run .	停止 。
you try it out .	你嘗試了它 。
we can make history .	我們能讓歷史上 , 可以讓歷史上 。
what would i feel ?	我覺得我覺得什麼 ?
how important is this ?	重要的是嗎 ?
it is so hard .	它很困難 。
it's amazing .	這是很棒的 。
business knows this .	企業知道這本人 。
they certainly do .	雖然 , 他們會做 。
we have understanding .	我們必須了解 。
not quite .	不然 。
whew !	喔 ! 喔 !
there she is .	她有了 。
and the world ?	世界嗎 ?
this was europe .	這是歐洲 。
why is that ?	為什麼 ?
so . . .	所以 , 嗯 。
so . . .	所以 , 嗯 。
check .	很幸運 。
this is important .	這是很重要的 。
you must get ?	你需要嗎 ?
you blog .	你的科技 。
ca: yes .	克:好 !
yes . exactly .	沒錯 。
deal with it .	解決它 。
witness .	愛滋病 。
so i did .	所以我做了 。
audience: hi .	觀眾:謝謝 。
should you know ?	你應該知道嗎 ?
she asked me .	她問我 。
how bad ? "	不好嗎 ? "
patient: two .	病人:兩個病人 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thanks .	謝謝謝 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thanks .	謝謝謝 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thanks .	謝謝謝 。
thank you .	謝謝你 。
thank you .	謝謝你 。
ok .	好 。
been there .	當時 , 已經有了 。
thank you .	謝謝你 。
sort of .	這樣 。
true story .	真的 。
know why ?	為什麼 ?
well done .	嗯 。
can we ?	我們不能嗎 ?
at all .	在所有人 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
nah !	喔 ! 喔 !
okay .	好 。
thank you .	謝謝你 。
thank you .	謝謝你 。
i know .	我知道 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
thank you .	謝謝你 。
good .	很好 。
seven .	第四個 。
ever .	今天 。
no .	沒有 。
why ?	為什麼 ?
and i was in munich a few weeks ago .	我在幾週 , 幾週 , 幾週 ,
so , you get this vicious cycle .	所以 , 你會把這個感染的感謝 。
but now i understand that it is a record of the beginning .	但是 , 我了解它是一開始的一開始 。
they had no voice . they didn't believe in themselves .	他們沒有聲音 , 他們不相信他們不相信自己的聲音 。
nobody really did anything with it , pretty much .	沒有人 , 沒有任何東西 , 很有 。
the problem is that people are not aware of it .	問題是 , 人們並不是一個人的 。
it's a part of the spiritual world .	它是世界各式的一部分 。
but we shouldn't take it for granted .	但 , 我們應該要把它帶給它 。
it used to be that we were separated by time .	用時間 , 我們用時間在長久的時間 。
it's a horrible term of trade .	它是不可怕的 , 很奇怪的 。
in those days , this was the height of technology .	在那天 , 這項技術上 , 他的科技是很快的 。
aluminum foil . everybody has a cat .	一個人工業 , 每個人都有一群人 。
all of this is happening without firing a shot .	所有人都不見過 , 沒有人會發生 。
we become afraid and suspicious .	我們變成了一場 , 我們變成了非常危險 。
this idea is taking hold outside of sports .	這想法是 , 以外面的開放 。
and how was i going to snowboard again ?	我要如何再再再再再再再再再再再再再再再再再再再再再再再再再次
we'd like to know what particle it is .	如我們所知道的一部分是一部分的一部分 。
it's a dinosaur like no other .	這張圖像不像其他的其他地方一樣 。
" it sounds like you feel you're not safe .	「 聲音就像你覺得你不安全 , 不是安全 。 」
you get health insurance ? dental ?	你在健康中有健康的健康嗎 ?
this seems a very strange idea , right ?	這似乎很奇怪 , 真的很奇怪 , 對吧 ?
and so this is why we turned to these guys here .	這是為什麼我們把這些人轉變成這些人 。
yes , bert , yes , i read about it .	嗯 , 嗯 , 我讀了 , 我讀它 。
maybe it could make people relax effectively .	也許它可以讓人們能產生的影響 。
there's no excuse for this mistake .	這裡沒有被誤解 , 沒錯了 。
but generally speaking , most of us don't .	但 , 基本上 , 大部分 , 大部分都不管我們 。
and we've been on a journey .	我們一直在一個旅程上 ,
there are more things that i think that i want to do .	更好 , 我認為我想要做的事 , 我想要做 。
richard searfoss: good luck .	富裕的美麗:好 , 很好 , 很好 。
it may even be subject to elimination .	即使是對抗爭論 。
i very much wanted to be the class monitor .	我很大的課程 , 很棒的課程 。
it's a liquid that is completely black .	它是黑暗的 , 這是黑暗的黑人 。
that's it ; that's the lecture .	其實是 , 這張圖的 , 它是一塊的 。
because i want to simplify them for you .	因為我想要和他們一起一起一起一起 ,
i'm not a betting man , you know .	我不是一個人 , 你不知道一個人 , 你知道一個人 。
it's a shapeshifter , for one thing .	一個形式的形狀 , 一件事是一件事 。
and this was kind of a shocker to me .	這是我很驚訝的 , 讓我感到驚訝 。
skin displacement: another big deal .	克里斯坦:另一方面 , 另外一個巨大的形狀 。
now , this is sort of worrying news .	這張畫畫畫畫畫畫畫畫了新的新形狀 。
why do people stream themselves playing video games ?	為什麼人們在玩玩玩玩玩玩玩遊戲 ?
it's shocking , isn't it ?	它是很棒的 , 不是嗎 ?
what we found is quite remarkable .	我們發現 , 我們發現很可怕 。
so leave it up to your own imagination .	所以 , 請你自己自己的想像力 。
this is a brain from a lamprey eel .	這是一個大腦的大腦 , 由於神經元 。
probably not next tuesday , either .	或許 , 一週 , 不論是週期的 。
we still need some kind of management matrix .	我們仍然需要一些不需要的法律 。
flowers will arrive by the truckload .	花了一輛車 , 把車車放到車上 。
and indeed that's exactly what stars do .	在這個星球上 , 星球的星球 。
so i researched everything i possibly could .	所以 , 我研究一切都可以讓所有東西都可以做 。
and " does it invoke curiosity ? "	「 這種奇怪的好奇怪嗎 ? 」
you're talking to the criminals .	請談談談談談 , 來談談談談 。
treetop barbie is a great example of that .	樹木是最棒的例子 。
but when someone says , " really ? huh .	但有人說: 「 真的 , 真的嗎 ? 」
intelligence is defined by prediction .	在預測中 , 預測是預測的預測 。
tajfel was born in poland in 1919 .	在1970年代 , 在1970年代中 ,
ask yourself: do i really need that adverb ?	問自己:我真的真的需要這樣 ?
and the truth is , it really doesn't take much .	事實是 , 真的 , 它不需要更多 。
we even built a theater there 3d movie .	即使我們建造了33個電影 。
supernova explosions are very extreme .	超級的超級是非常複雜的 。
we can help poor families build a better future .	我們可以協助更好的未來 , 更好的未來 , 更好 。
and i want to tell you how this gun can help .	我想要告訴各位 , 你如何幫助你如何幫助你 。
dm: you tagged me in this post .	克:你在這個報告上 , 你把我放到這張照片 。
and when people ask me , " are these words real ? "	當人們問我: 「 這些字是真的真的嗎 ? 」
they love rock music , pop culture , american culture .	他們喜歡音樂、音樂、政治、政治文化、文化、文化、文化、文化、文化、文化、文化、文化、文化 。
we need to put this better market feedback .	我們需要更好的市場 , 我們需要更好的市場 。
for you cannot love what you do not know exists .	若你不愛你不愛你不知道你知道什麼 。
ks: two d . j . decks .	克:2.2.........
and it was his universe on punch cards .	這是他的宇宙上 , 太陽能在車上 。
but the question is: can we own our duality ?	但問題是:我們能自己自己自己 ?
and the girl said , " they will in a minute . "	女孩說 , 他們會說: 「 他們會一分鐘 。 」
she was called " crazy " and fired .	她叫做 「 阿拉拉拉 , 她叫 「 火 」
do what you need to do to go another round .	你需要做另一邊 , 再去做另一邊 。
that leaves 5 empty faces on each .	每五個臉上 , 每個臉上 , 每個臉上 。
but first , see what a miserable lot we are .	首先 , 一開始 , 許多我們所看到的不可怕 。
it was , like , this is my time for shine .	就像我來說 , 這段時間 , 我的時間很喜歡 。
the second tool we reach for is incentives .	第二個例子 , 我們將近近近近近的第二個 。
jc: the relationship evolves over time .	克里斯:關係的關係 , 與時間之間的關係 。
and that is the story of jack andraka .	這故事是 , 克克克克克克克克 ,
okay , you've got something ? one more thing .	嗯 , 你有一些東西 , 更好的事是更好的 。
nearly every year for more than a hundred years . . .	每一年 , 每百年 , 每百年 ,
and that was just a small percentage of the dead .	這只是一個小小的小組成 。
they're not under nda either .	不論他們不只在西方上 。
and it's not just water that this works with .	它並不是水和水和水和水一樣 。
we see this in the public sector as well .	我們看到這個公眾的公民 , 我們看到這個公民 。
those waves have long since faded .	這些太陽能有長久 , 因為這些長大的速度有長久 。
these are community affairs , by the way .	這些群群群的社區 , 以來源於極端的方式 。
but we don't really know how and why that happens .	但 , 我們不知道 , 我們不知道為什麼發生了 。
there's so many people who feel the way i do .	許多人覺得 , 我覺得我有許多人感覺 。
he had left people and their communities out .	他在左邊 , 牠們的社區和社區 。
so let me just give you the map view of this stuff .	所以 , 讓我給各位展示這個東西的圖片 。
so you're probably all wondering: the cave .	所以 , 你可能都想 , 所有人都很棒 。
thank you very much and have a nice night .	非常謝謝你 , 一晚 , 一晚 , 一晚 , 一晚 , 非常謝謝你 。
and i need to go back to work for the american people .	我必須回到美國工作的人 , 來回到美國 。
but what about our ability to sense and control these things ?	但 , 我們能控制這些方式 , 能控制這些東西 ?
we are overwhelmed with natural gas .	我們在自然中 , 自然和自然的自然 。
ninetyfive percent of them just stopped .	9%的藥物只只停止 , 只停止止止止止止止止止止止止止止止 。
and it's even better , because it's free .	甚至更好 , 因為它更好 , 因為它是自由的 。
i think e pluribus unum is global .	我認為 , 全球的不論是全球的 。
but most biologics also have a flaw .	但大部分的生物也也有一種生物生物 。
well , one way to express choice is through the market .	一個方法 , 一個選擇是市場的選擇 。
naughty umm elsaad .	阿拉拉拉拉拉拉拉拉拉 。
stephen covey said it very beautifully .	一步驟說 , 非常美妙 , 非常美麗 。
in 2000 , we had six billion people on the planet .	在2000年 , 我們有六億人在地球上有六億人 。
like , how do they know that's the time ?	例如 , 他們怎麼知道他們是如何 ?
the caregiver seeks the baby .	太陽能看到海豚的電池 。
dh: everything up here's ok ?	嗯 , 所有東西都在這裡 , 一切都在嗎 ?
we got rid of the stuff that didn't .	我們也沒有任何東西 , 不管我們沒有任何東西 。
so now i have to improvise again .	所以 , 我再再再再再再再再再再再再再再再再再再再再再再再再再次
robbie mizzone: thank you .	克克克克:謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝謝
the final movement is called mounds .	最後 , 叫做 「  」 叫做 「 電力 」 。
well , it's not rocket science .	嗯 , 這不是科學的科學 。
it happened to lots of mammals .	它發生了很多的雄性 。
you dress well . you know how to speak .	你知道 , 嗯 , 嗯 , 你知道你如何說 。
the reason for this is the way we make decisions .	原因是 , 這是我們決定決定決定決定 。
if that doesn't work , i use my phone .	如果沒有工作 , 我不用手機 , 我用手機 。
it ends where it begins from to complete itself .	最後 , 最後 , 它開始開始完全完全開始 。
i was going toward him without even thinking about it .	我會向他去思考他 , 甚至無法思考他 。
can we do a quick show of hands ?	我們能做一個簡單的手臂 , 可以做手 ?
let's start with epinephrine .	咱們開始開始 , 來開始了dna 。
think back to a really vivid memory .	想像一下 , 讓我很興奮 。
now , ted is just a small part of this .	首先 , 只是一個小部分的部分 。
this is the seven billion people that live in the world .	這是世界上五億人住在世界中 , 全世界有七億人 。
