i think you need to be in the hospital .	我覺得你需要在醫院 。
in reality , take a guess .	在現實中 , 請猜猜 。
hold your breath for me .	請呼吸給我 。
there's no question about it .	沒有問題 。
paper has some downsides .	紙張有一些下降 。
that can't be right . "	沒錯 。 」
there would still be dangers .	仍然會有危險 。
we are very far from it .	我們很遠 。
twice as likely .	兩倍 。
i was just a kid back then .	那時我只是個小孩 。
and that's what you get .	這就是你所得到的 。
they continued doing exactly the same .	他們繼續做同樣的事
but the data says something different .	但數據顯示了不同的東西 。
the product was that airplane .	產品是飛機 。
we're not alone , though .	雖然我們並不孤單 。
now , there's another problem .	現在 , 還有另一個問題 。
the goal is very clear .	目標很明顯 。
we'll need an action .	我們需要行動 。
why are we conscious ?	為什麼我們意識到 ?
is there anyone else out there ?	有沒有人在那裡嗎 ?
and kathe did her job .	凱西做了她的工作 。
it was all rubble .	全都是橡膠 。
the young man should be made first .	年輕人應該先做 。
this is a hologram .	這是個熱情的影像 。
tabutni . thank you .	坦白 。 謝謝 。
why has the record been so poor ?	為什麼記錄這麼貧窮 ?
and there's the sheep .	還有羊 。
now to the final approach .	最後一個方法 。
why do we sometimes cheat ?	為什麼我們有時會作弊 ?
now , here's another reason .	這裡還有另一個原因 。
i'm numb .	我是諾貝 。
and here's the statement .	這是陳述 。
it's a core question .	這是個核心的問題 。
that was the magic number .	這是魔術數字 。
and this is slowly starting .	這是很慢的開始 。
so i came up with a plan .	所以我想出了一個計畫 。
so i wanted something to solve it .	所以我想要解決它 。
it's going to be fun .	它會很有趣 。
but how does it work , exactly ?	但它如何運作呢 ?
so that's a big change .	這是個很大的改變
they're just not moving .	他們不只是移動 。
maybe you've heard of her .	也許你聽過她 。
his vision was pretty poor .	他的視野非常貧窮 。
" i'm ok . "	「 我好了 。 」
sr: that is true .	tr:這是真的 。
and then you see a date .	然後你看到一個日子 。
but then what happens in step three ?	但接下來會發生什麼事 ?
and what has happened in the world ?	世界上發生了什麼事 ?
you decided to build a space company .	你決定建造一個空間公司 。
and everything that my office was doing .	我的辦公室都在做 。
we are not a special interest group .	我們不是特別的利益團體 。
get yourself to a specialist center .	讓自己成為一個專家中心 。
hopefully , they will come .	希望他們會來 。
this might be a startling answer .	這可能是個令人驚訝的答案 。
they're paid for .	他們為此付錢 。
np: i remember that .	np:我記得 。
" beth , " she said .	她說: 「 貝爾 , 她說 。
there are actually two tails .	其實有兩個尾巴 。
he had acromegaly .	他有很棒的 。
the second thing you need is light .	你需要的第二件事是光 。
supercomputers same thing .	超級電腦也一樣 。
they watched the video over there .	他們在那邊看了影片 。
so i became my own intern .	所以我變成了我自己的內部 。
who is that going to come from ?	誰會從哪裡來 ?
well , what difference does this make ?	嗯 , 這會造成什麼不同 ?
i've talked to them .	我跟他們談過 。
now , it goes down to a .	現在 , 它會下降到一個 。
because notice the porch here .	因為注意到這張圖 。
these are haikus .	這些是哈尼克斯 。
i am an emotional creature .	我是情緒的生物 。
we hear about them all the time .	我們常常聽到他們 。
so we did it . okay ?	所以我們做了 。 好嗎 ?
this gets you to 6 .	這會讓你6歲 。
we need help . we need help .	我們需要協助 。 我們需要協助 。
and i can repeat that .	我可以重覆這一點 。
yet i had that piece of paper .	但是我有這張紙 。
and it didn't stop there .	沒有停下來 。
her name is esther .	她的名字叫艾莉絲 。
then we can start to use cells .	然後我們可以開始使用細胞 。
come , let's go inside .	來吧 , 我們來看看 。
and what did i say about work ?	我怎麼說呢 ?
i suppose we are . "	我假設我們是 。 」
five factorial is 120 .	五個因素是120 。
he said , " be you . "	他說: 「 你是你 。 」
secondly , that's wrong .	第二 , 錯了 。
i put my hopes in front .	我把希望放到前面 。
decision scientists are people like me .	決策科學家和我一樣 。
and the answer is that they do .	答案是 , 他們做到了 。
mr: thank you .	馬:謝謝你 。
and they go up easily .	他們很容易地走上去 。
we got reports like this .	我們得到了像這樣的報導 。
start by doing no harm .	一開始 , 沒有傷害 。
talk about a few of them .	談幾個人 。
one was that they be american .	第一 , 他們是美國人 。
so what about the next step ?	所以接下來的步驟是什麼 ?
we wanted to do something different .	我們想要做一些不同的事 。
so this was a great project .	這是個很棒的計畫 。
but is it really that easy ?	但這真的很簡單嗎 ?
there is this other powerful feeling .	還有另一個強大的感受 。
it's tedious .	真是太棒了 。
just spread them around .	只是傳遍它們 。
what would that system look like ?	那系統會是什麼樣子 ?
and yet , it never happens .	然而 , 它永遠不會發生 。
schoolchildren play .	學校芝加爾演奏 。
were you vulnerable ?	你脆弱嗎 ?
the design comes from within .	設計來自於內部 。
we play with coins .	我們用硬幣來玩 。
did you see what i did ?	你看到我做了什麼 ?
how far can we take it ?	我們能花多少錢 ?
all companies die , all companies .	所有的公司都死了 , 所有的公司 。
and we knew we were right .	我們知道我們是對的 。
they dumped us there .	他們把我們帶到那裡 。
it's given to you .	它給了你 。
live long and prosper .	長壽和專家 。
which would you choose ?	你選擇哪些 ?
there's no manual .	沒有人性 。
the difference is intent .	差別是不多 。
i found no flaw .	我發現沒有瑕疵 。
he couldn't understand that .	他無法理解 。
and that's not all .	這不全是如此 。
well , guess what ?	嗯 , 猜猜猜怎麼辦 ?
they can't see me .	他們看不到我 。
take a look at our planet .	看看我們的地球 。
sound familiar ?	聽起來很熟悉嗎 ?
so thank you very much .	謝謝大家 。
so how do you do that ?	你怎麼做 ?
jd: it varies .	jd:它變異了 。
ab: yes ? good .	ab:好嗎 ? 很好 。
let’s take numbers .	我們來看看數字 。
what do we worship ?	我們擔心什麼 ?
so how does this all work ?	所以這一切是如何運作的 ?
do you worry much ?	你擔心嗎 ?
this is what some people think .	這是一些人認為的 。
where do we go from here ?	我們從哪裡到這裡 ?
thank you all very much .	謝謝大家 。
this is a picture of culture .	這是文化的照片 。
i don't get that .	我不懂 。
there could be other solutions .	可能還有其他解決方案 。
so it went something like this .	所以 , 它會像這樣 。
but i do think you can .	但我認為你可以 。
so this is very powerful .	這是非常強大的 。
it got quieter .	它變得安靜 。
the news loved it .	新聞很喜歡它 。
what's going on there ?	到底發生了什麼事 ?
i thought that was really interesting .	我覺得很有趣 。
it's just cash .	只是貓咪 。
how could you forget ?	你如何忘記 ?
and it's not new .	而不是新的 。
representative government began to form .	代表政府開始形成 。
we are fighting against this .	我們正在對抗這一點 。
just quickly on the results .	很快的結果 。
that was the future , right ?	那是未來 , 對吧 ?
so i thanked ed .	我感謝ed 。
idea number three is listening .	第三點是傾聽 。
the wire is ready .	野火已經準備好了 。
really firstclass .	最初的奴隸 。
well , it's not .	嗯 , 不是 。
but this was 1963 .	但這是1963年 。
it's called color .	它叫顏色 。
let's find out .	我們來看看 。
thank you very much .	謝謝大家 。
let me show you this .	讓我給各位看 。
so when you put four .	所以 , 當你把四點放進去 。
but i need your help .	但我需要你的協助 。
thank you very much .	謝謝大家 。
some hands going up .	有些手會上升 。
so how does it work ?	所以它如何運作呢 ?
a good example is this .	一個很好的例子是 。
globalize trade .	全球化貿易 。
but what do you do ?	但你怎麼做 ?
that was not my best .	這不是我最好的 。
no one wants that .	沒有人想要這樣 。
but i believe in them .	但我相信他們 。
entirely new requirement .	全新的要求 。
so what did we find ?	所以我們發現了什麼 ?
and i am thankful .	我非常感謝 。
so what can we do ?	我們能做什麼 ?
that was the new reality .	那是新現實 。
it's your money .	這是你的錢 。
so why is this important ?	為什麼這很重要 ?
so what does that mean ?	那是什麼意思呢 ?
so we made this thing .	所以我們做了這個東西 。
thank you very much .	謝謝大家 。
i don't know .	我不知道 。
thank you very much !	謝謝 !
thank you very much .	謝謝大家 。
" the business is on .	「 企業在上 。
now there is another one .	現在還有另一個 。
why english ?	為什麼英文 ?
okay ? ready ?	好嗎 ? 準備好了嗎 ?
it is a beautiful room .	這是個美麗的房間 。
what might that look like ?	那會是什麼樣子 ?
we say they explore .	我們說他們探索 。
the heat was on .	熱情在於 。
this young woman was me .	這位年輕女子是我 。
" lifesized . "	「 生命化了 。 」
that moment changed my life .	那一刻改變了我的人生 。
come on , keep up .	來吧 , 繼續下去 。
how can we know this ?	我們怎麼知道 ?
young , bad boys .	年輕、壞男孩 。
why would it be wrong ?	為什麼會錯 ?
and it can do that .	它可以做到 。
how did he learn them ?	他如何學會他們 ?
we only have them once .	我們只有一次 。
what should it be for ?	該怎麼做 ?
to calm down .	要冷靜下來 。
i got really sick .	我很生病 。
they call her names .	他們稱她為名字 。
and i live there now .	我現在住在那裡 。
they are not the truth .	他們不是真相 。
we experimented on ourselves .	我們自己實驗了 。
i love nasa .	我很喜歡納粹 。
life is not about you .	生命不是關於你 。
which i certainly was .	我肯定是 。
this is just trained .	這只是被訓練的 。
this is their plan .	這是他們的計畫 。
i just . . .	我只是這樣 。
and here it is .	這裡是 。
silence .	沉默 。
you can see it .	你可以看到 。
what is math ?	數學是什麼 ?
so i did that .	我做到了 。
everyone can be wrong .	每個人都可以錯 。
you talk about it .	你談到它 。
i just did things .	我只是做了一些事情 。
how have you been ?	你怎麼樣 ?
guess what ?	猜猜猜呢 ?
and why is that ?	為什麼 ?
what does this mean ?	這意味著什麼 ?
i did it myself .	我自己做了 。
i didn’t .	我沒有 。
but we wanted them .	但我們希望他們 。
it won't .	它不會 。
false .	法國 。
ohhhh .	喔 。
here is the thing .	這裡是這樣 。
and so it goes .	所以 , 它就這樣了 。
of course they are .	當然 , 他們是 。
consider facit .	想想設法 。
they also live deep .	他們也活得更深 。
sales were up .	銷售的銷售量很高 。
it feels great .	感覺很棒 。
you're live .	你活著 。
" showers ? "	「 秀者嗎 ? 」
love , action .	愛、行動 。
i could not believe .	我無法相信 。
really cool stuff .	真的很酷 。
run away . run .	跑走 。 跑步 。
you try it out .	你試試試看 。
we can make history .	我們可以創造歷史 。
what would i feel ?	我會覺得什麼 ?
how important is this ?	重要的是呢 ?
it is so hard .	它很困難 。
it's amazing .	很棒 。
business knows this .	企業知道這一點 。
they certainly do .	他們當然會這麼做 。
we have understanding .	我們有了解 。
not quite .	不太太好 。
whew !	哇 !
there she is .	她在那裡 。
and the world ?	世界呢 ?
this was europe .	這是歐洲 。
why is that ?	為什麼 ?
so . . .	所以......
so . . .	所以......
check .	查克 。
this is important .	這很重要 。
you must get ?	你必須得到嗎 ?
you blog .	部落格 。
ca: yes .	克:是的 。
yes . exactly .	是的 。
deal with it .	處理它 。
witness .	智慧 。
so i did .	我做到了 。
audience: hi .	觀眾:嗨 。
should you know ?	你知道嗎 ?
she asked me .	她問我 。
how bad ? "	多糟 ? 」
patient: two .	病人:兩個 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thanks .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thanks .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thanks .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
ok .	好 。
been there .	已經在那裡了 。
thank you .	謝謝 。
sort of .	有點像 。
true story .	真的故事 。
know why ?	知道為什麼 ?
well done .	沒錯 。
can we ?	我們可以嗎 ?
at all .	全部 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
nah !	娜 !
okay .	好 。
thank you .	謝謝 。
thank you .	謝謝 。
i know .	我知道 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
good .	很好 。
seven .	7.
ever .	曾經 。
no .	不 。
why ?	為什麼 ?
and i was in munich a few weeks ago .	幾週前我在突尼斯 。
so , you get this vicious cycle .	所以 , 你得到了這個珍貴的循環 。
but now i understand that it is a record of the beginning .	但現在我了解到 , 這是一開始的記錄 。
they had no voice . they didn't believe in themselves .	他們沒有聲音 , 他們不相信自己 。
nobody really did anything with it , pretty much .	沒有人真的做任何事 , 幾乎沒有人這麼做 。
the problem is that people are not aware of it .	問題是 , 人們並不意識到 。
it's a part of the spiritual world .	這是精神世界的一部分 。
but we shouldn't take it for granted .	但我們不應該把它帶到理所當然 。
it used to be that we were separated by time .	以前 , 我們被時間分開 。
it's a horrible term of trade .	這是個很可怕的貿易 。
in those days , this was the height of technology .	幾天 , 這是科技的重量 。
aluminum foil . everybody has a cat .	鋁化石 , 每個人都有貓 。
all of this is happening without firing a shot .	這一切都發生了 。
we become afraid and suspicious .	我們變成害怕和懷疑 。
this idea is taking hold outside of sports .	這個想法在運動的外面 。
and how was i going to snowboard again ?	我又如何再次瀏覽呢 ?
we'd like to know what particle it is .	我們想知道粒子是什麼 。
it's a dinosaur like no other .	這是個恐龍 , 就像沒有其他人一樣 。
" it sounds like you feel you're not safe .	「 聽起來有點像你覺得你不安全 。
you get health insurance ? dental ?	你得到健康保險嗎 ?
this seems a very strange idea , right ?	這似乎很奇怪 , 對吧 ?
and so this is why we turned to these guys here .	這就是為什麼我們轉向這些傢伙 。
yes , bert , yes , i read about it .	是的 , bert , 是的 , 我閱讀它 。
maybe it could make people relax effectively .	或許可以讓人們輕鬆地重視 。
there's no excuse for this mistake .	沒有這種錯誤 。
but generally speaking , most of us don't .	但一般來說 , 我們大多數人都沒有 。
and we've been on a journey .	我們一直在旅程上 。
there are more things that i think that i want to do .	我覺得我想要做更多事情 。
richard searfoss: good luck .	理查的搜尋:好運 。
it may even be subject to elimination .	甚至會被注射到消滅 。
i very much wanted to be the class monitor .	我非常想成為課程師 。
it's a liquid that is completely black .	它是完全黑色的液體 。
that's it ; that's the lecture .	那就是它 , 那就是課程 。
because i want to simplify them for you .	因為我想要給你們簡化 。
i'm not a betting man , you know .	我不是一個人 , 你知道的 。
it's a shapeshifter , for one thing .	這是一種形狀 , 一件事 。
and this was kind of a shocker to me .	這對我來說有點震驚 。
skin displacement: another big deal .	皮膚解釋:另一個大問題 。
now , this is sort of worrying news .	這是值得注意的新聞 。
why do people stream themselves playing video games ?	為什麼人們會把他們自己當作電玩遊戲 ?
it's shocking , isn't it ?	令人震驚 , 不是嗎 ?
what we found is quite remarkable .	我們發現很驚人 。
so leave it up to your own imagination .	所以 , 把它放到你的想像中 。
this is a brain from a lamprey eel .	這是雷射電梯的大腦 。
probably not next tuesday , either .	可能不是下星期五 , 不論是誰 。
we still need some kind of management matrix .	我們仍然需要一些管理能力 。
flowers will arrive by the truckload .	花朵會被卡車帶走 。
and indeed that's exactly what stars do .	事實上 , 恆星的確是如此 。
so i researched everything i possibly could .	所以我研究了我可能可以做的一切 。
and " does it invoke curiosity ? "	「 這不像好奇心嗎 ? 」
you're talking to the criminals .	你在和犯罪交談 。
treetop barbie is a great example of that .	樹木芭比是個很棒的例子 。
but when someone says , " really ? huh .	但當有人說: 「 真的嗎 ? 哈 。
intelligence is defined by prediction .	智慧被預測所定義 。
tajfel was born in poland in 1919 .	191919年 , 塔吉爾出生 。
ask yourself: do i really need that adverb ?	問自己:我真的需要那個廣告嗎 ?
and the truth is , it really doesn't take much .	事實是 , 這真的不需要太多 。
we even built a theater there 3d movie .	我們甚至建造了一個3d電影 。
supernova explosions are very extreme .	超新星爆炸很極端 。
we can help poor families build a better future .	我們可以協助貧窮家庭建立更好的未來 。
and i want to tell you how this gun can help .	我想告訴各位 , 這槍如何協助 。
dm: you tagged me in this post .	dm:你在後面教我 。
and when people ask me , " are these words real ? "	當人們問我: 「 這些字是真的嗎 ? 」
they love rock music , pop culture , american culture .	他們很喜歡搖滾音樂、鋼琴文化、美國文化 。
we need to put this better market feedback .	我們需要更好的市場回饋 。
for you cannot love what you do not know exists .	對於你無法愛你所未知的存在 。
ks: two d . j . decks .	凱特:兩個d.j.j.狄克 。
and it was his universe on punch cards .	這是他的宇宙 。
but the question is: can we own our duality ?	但問題是:我們能擁有我們的尊嚴嗎 ?
and the girl said , " they will in a minute . "	女孩說: 「 他們會一分鐘 。 」
she was called " crazy " and fired .	她叫 「 瘋狂 」 。
do what you need to do to go another round .	你需要做什麼才能去另一條路 。
that leaves 5 empty faces on each .	每一面都留下5個空虛的臉 。
but first , see what a miserable lot we are .	首先 , 看看我們多數人是怎樣的 。
it was , like , this is my time for shine .	就像這樣 , 這是我的時期 。
the second tool we reach for is incentives .	我們接觸的第二個工具是激勵力 。
jc: the relationship evolves over time .	jc:隨著時間演化 。
and that is the story of jack andraka .	這是傑克和拉克的故事 。
okay , you've got something ? one more thing .	好吧 , 你有一些東西嗎 ? 有件事 。
nearly every year for more than a hundred years . . .	每年有超過一百年 。
and that was just a small percentage of the dead .	這只是死的百分之一 。
they're not under nda either .	他們不是在倫敦的下面 。
and it's not just water that this works with .	這不僅僅是水資源 。
we see this in the public sector as well .	我們也在公共部門看到這一點 。
those waves have long since faded .	那些波長很長 。
these are community affairs , by the way .	這些是社區的員工 , 順便一提 。
but we don't really know how and why that happens .	但我們不知道為什麼會這樣發生 。
there's so many people who feel the way i do .	有這麼多人感受到我的方式 。
he had left people and their communities out .	他離開了人們和社區 。
so let me just give you the map view of this stuff .	讓我給各位看一下這東西的地圖 。
so you're probably all wondering: the cave .	你可能都在想:洞穴 。
thank you very much and have a nice night .	非常感謝 , 晚上有很棒的晚 。
and i need to go back to work for the american people .	我需要回到美國人的工作 。
but what about our ability to sense and control these things ?	但 , 我們的能力能感受和控制這些東西呢 ?
we are overwhelmed with natural gas .	我們和天然氣過度過重 。
ninetyfive percent of them just stopped .	百分之九十五的人只停下來 。
and it's even better , because it's free .	更好 , 因為它是免費的 。
i think e pluribus unum is global .	我認為luribubus是全球性的 。
but most biologics also have a flaw .	但大部分的生物邏輯也有瑕疵 。
well , one way to express choice is through the market .	為了表達選擇的方法之一是透過市場來表達 。
naughty umm elsaad .	很糟糕的腫瘤 。
stephen covey said it very beautifully .	史蒂芬柯說 , 非常美麗 。
in 2000 , we had six billion people on the planet .	2000年 , 我們在地球上有六億人 。
like , how do they know that's the time ?	他們怎麼知道那是時候的 ?
the caregiver seeks the baby .	照護者看到嬰兒 。
dh: everything up here's ok ?	dh:好嗎 ?
we got rid of the stuff that didn't .	我們失去了那些沒有的東西 。
so now i have to improvise again .	現在我必須再改善 。
robbie mizzone: thank you .	羅比.密茲:謝謝你 。
the final movement is called mounds .	最後的運動叫做 「 山 」 。
well , it's not rocket science .	嗯 , 這不是科學 。
it happened to lots of mammals .	它發生了很多哺乳動物 。
you dress well . you know how to speak .	你開車 , 你知道如何說話 。
the reason for this is the way we make decisions .	原因是我們做出決策的方式 。
if that doesn't work , i use my phone .	如果沒有效果 , 我用手機 。
it ends where it begins from to complete itself .	最後 , 它從自己開始 。
i was going toward him without even thinking about it .	我甚至不會想到他 。
can we do a quick show of hands ?	我們能做個快速的節目嗎 ?
let's start with epinephrine .	我們先從睡眠開始 。
think back to a really vivid memory .	回到一個非常受訪記憶的記憶 。
now , ted is just a small part of this .	現在 , ted只是其中一部分 。
this is the seven billion people that live in the world .	這是世界上七十億人生活的七十億人 。
can we all just close our eyes for a minute ?	我們只能靠近我們的眼睛嗎 ?
this is a film , the one called toys .	這是一個電影 , 叫做玩具 。
the fourth year , we were just short of 100 .	第四年 , 我們只是一百歲 。
your telomeres do just fine .	你的電子組合只是好的 。
but she had a factor that was very important .	但她有個非常重要的因素 。
and he thinks a robot has to be really slow .	他認為機器人必須很緩慢 。
it's taken off the delivery truck .	它被送出非常悲劇的卡車 。
so again , that was a real good match .	再一次 , 那是個很棒的交配 。
we've known since we were babies .	我們從嬰兒開始就知道 。
including diversity of emotion .	包括情緒多樣性 。
things seemed to be progressing .	事情似乎是進步的 。
a lot of people are likely to be left behind .	很多人可能離開 。
and worst of all , we will never know .	最糟的是 , 我們永遠不會知道 。
it was an amazing sort of insight for me .	這對我來說是很棒的 。
it's something that comes out from the past .	它是從過去出來的 。
and we didn't start with the easy places .	我們並沒有從簡單的地方開始 。
sounds impossible , doesn't it ?	聽起來不可能 , 不是嗎 ?
it has no nails or screws .	它沒有細節或螢幕 。
this here is an obituary headline .	這裡有個奇怪的頭條 。
ynh: yes , very much so .	ynh:是的 , 非常多 。
his restaurant is open seven months every year .	每一年 , 他的餐廳都開了七個月 。
so get in the game . save the shoes .	所以 , 在遊戲中 , 拯救鞋子 。
it was , and feels , monumental .	它是 , 感覺、情緒 。
let's talk about a battle space .	咱們來談談戰場 。
for some reason , you guys are just really slow .	原因是 , 你只是很慢 。
nelson mandela gets two .	尼爾遜曼德拉有兩個 。
in person , fireflies are charming .	在人身上 , 螢火蟲正在追求 。
it took 15 years to make that phone call .	花了15年的時間 , 讓電話叫 。
so the question is , where do we start this story ?	問題是 , 我們從這個故事開始 ?
kleiber is about conditions in the world .	克萊斯是關於世界各地的狀況 。
it's a piece of public mischief .	這是一塊公共犯罪 。
ok . and how about this minibus ?	好了 。 那我怎麼想 ?
that was taken on the last evening i was there .	最後一晚我就在那裡了 。
and finally our last rung: we take action .	最後我們最後的跑步:我們採取行動 。
drive the kids to school on the way to the office .	把孩子帶到辦公室 。
so we built this machine in this garage here .	所以我們在這個垃圾桶裡建造了這台機器 。
did you notice this section is foreplay ?	你注意到這個區塊是什麼 ?
they produced flyers . they called offices .	他們製作了飛行器 , 他們叫辦公室 。
then remember those billions of information packets ?	還記得數十億的資訊包裝嗎 ?
man: i will tell all of you . just wait .	男孩:我會告訴你們所有人 。 等等 。
all violence against every child in every country . "	每個國家都有暴力 。 」
but tricking people about their own mind is hard .	但駭客自己的想法是困難的 。
right there is reason enough to have uniforms .	這裡有足夠的理由 。
did he say fun ? rupert ? yes !	他說嗎 ? 魯特 ? 是嗎 ?
there's something absolutely real about rotation .	有一些關於轉動的真相 。
let's multiply it by two .	咱們把它翻譯成兩種 。
they think we don't care what happens to them .	他們認為我們不在乎他們發生什麼事 。
rp: you owe me 24 dollars .	理查:你給我24美元 。
programmers take this capability for granted .	程式設計師把這個能力拿來抓住 。
how much livestock do you need to produce this ?	你需要多少生命才能產生這個 ?
i know i can trust him because we're family .	我知道我可以信任他 , 因為我們是家人 。
that experience is what we call consciousness .	我們稱之為意識 。
commodity prices are like this .	移民價格就像這樣 。
as soon as the car left , i went back .	當車子離開時 , 我回到了 。
and i have to admit this looks bad .	我必須承認這看起來很糟 。
where have i read them before ? ah , yes .	我在哪裡讀過他們 ? 啊 , 是的 。
do you know who sponsored this research ?	你知道誰贊助這項研究 ?
everything about your life , about your body , grows !	關於你的人生 , 關於你的身體 , 長大 !
it's a promise to the kids .	這對孩子來說是個承諾 。
the following bus , powers of 7 .	接下來的巴士 , 7.
i was tired of faking normal .	我很奇怪 。
it said yorktown on the stern .	有人說 , 在店裡 ,
yeah , we get it , he's five .	是的 , 我們得到了 , 他五歲 。
i did another story on marine debris .	我在海洋辯論中做了另一個故事 。
they were the best team in the tournament .	他們是最好的團隊 。
they tell us things beyond what they represent .	他們告訴我們他們所代表的事物 。
mockus then challenged citizens .	摩克斯 接著挑戰公民 。
so , the bladder is one such organ .	所以 , 膀胱是這種器官 。
there's also been some success .	還有一些成功 。
